user_id,token,n_posts,label_majority,targets,channel_id,channel_title,group_label,corpus,source_kind,n_videos
afghanistan_influencers::UC-3jIAlnQmbbVMV6gR7K8aQ,usr07d11af934,7028,influencer,,UC-3jIAlnQmbbVMV6gR7K8aQ,The Majority Report w/ Sam Seder,afghanistan_influencers,afghanistan,influencer,26
afghanistan_influencers::UCCRNUa9EwvRXMYwUmDi3JtA,usr1688bf1564,975,influencer,,UCCRNUa9EwvRXMYwUmDi3JtA,Chad Prather,afghanistan_influencers,afghanistan,influencer,3
afghanistan_influencers::UCD8YGIxFCnVqv-ZGqgtVWAg,usr652924ad2b,6425,influencer,,UCD8YGIxFCnVqv-ZGqgtVWAg,Erick Stakelbeck on TBN,afghanistan_influencers,afghanistan,influencer,7
afghanistan_influencers::UCIveFvW-ARp_B_RckhweNJw,usr7e684bd028,3067,influencer,,UCIveFvW-ARp_B_RckhweNJw,StevenCrowder,afghanistan_influencers,afghanistan,influencer,2
afghanistan_influencers::UCJdKr0Bgd_5saZYqLCa9mng,usr040c1b6e99,497,influencer,,UCJdKr0Bgd_5saZYqLCa9mng,The Rubin Report,afghanistan_influencers,afghanistan,influencer,3
afghanistan_influencers::UCLdP3jmBYe9lAZQbY6OSYjw,usr850c0e1cae,188,influencer,,UCLdP3jmBYe9lAZQbY6OSYjw,Benny Johnson,afghanistan_influencers,afghanistan,influencer,6
afghanistan_influencers::UCQANb2YPwAtK-IQJrLaaUFw,usr43e11acea6,9609,influencer,,UCQANb2YPwAtK-IQJrLaaUFw,Brian Tyler Cohen,afghanistan_influencers,afghanistan,influencer,2
afghanistan_influencers::UCaYw_yJ_YLPEv6zR2c7hgHA,usr03bb9b266c,3658,influencer,,UCaYw_yJ_YLPEv6zR2c7hgHA,The Officer Tatum,afghanistan_influencers,afghanistan,influencer,1
afghanistan_influencers::UCeJGFZww0__Ln7OFfeYRs4w,usrcb57975c99,700,influencer,,UCeJGFZww0__Ln7OFfeYRs4w,Compound Media,afghanistan_influencers,afghanistan,influencer,1
afghanistan_influencers::UClFSU9_bUb4Rc6OYfTt5SPw,usrd141476369,15611,influencer,,UClFSU9_bUb4Rc6OYfTt5SPw,Philip DeFranco,afghanistan_influencers,afghanistan,influencer,3
afghanistan_influencers::UCnQC_G5Xsjhp9fEJKuIcrSw,usr067e1a7860,71485,influencer,,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,afghanistan_influencers,afghanistan,influencer,22
afghanistan_influencers::UCtoaZpBnrd0lhycxYJ4MNOQ,usr29f09302d7,3638,influencer,,UCtoaZpBnrd0lhycxYJ4MNOQ,HasanAbi,afghanistan_influencers,afghanistan,influencer,3
afghanistan_influencers::UCvixJtaXuNdMPUGdOPcY8Ag,usr871f13eb1e,8075,influencer,,UCvixJtaXuNdMPUGdOPcY8Ag,David Pakman Show,afghanistan_influencers,afghanistan,influencer,16
afghanistan_influencers::UCx_2Vso6Qz76n-w5KV8DZcA,usr1912468e49,191,influencer,,UCx_2Vso6Qz76n-w5KV8DZcA,Allie Beth Stuckey,afghanistan_influencers,afghanistan,influencer,2
afghanistan_news::UC3ScyryU9Oy9Wse3a8OAmYQ,usrf626d5e9cb,492,news,,UC3ScyryU9Oy9Wse3a8OAmYQ,FRONTLINE PBS | Official,afghanistan_news,afghanistan,news,1
afghanistan_news::UC9k-yiEpRHMNVOnOi_aQK8w,usrb72cba4b3d,6184,news,,UC9k-yiEpRHMNVOnOi_aQK8w,Inside Edition,afghanistan_news,afghanistan,news,4
afghanistan_news::UCJg9wBPyKMNA5sRDnvzmkdg,usrce7088625a,4507,news,,UCJg9wBPyKMNA5sRDnvzmkdg,LiveNOW from FOX,afghanistan_news,afghanistan,news,18
afghanistan_news::UCK7tptUDHh-RYDsdxO1-5QQ,usr84e51a45fc,4589,news,,UCK7tptUDHh-RYDsdxO1-5QQ,The Wall Street Journal,afghanistan_news,afghanistan,news,4
afghanistan_news::UCLXo7UDZvByw2ixzpQCufnA,usr3b75c00d0d,3634,news,,UCLXo7UDZvByw2ixzpQCufnA,Vox,afghanistan_news,afghanistan,news,1
afghanistan_news::UCVSNOxehfALut52NbkfRBaA,usrf037396953,3016,news,,UCVSNOxehfALut52NbkfRBaA,Voice of America,afghanistan_news,afghanistan,news,46
afghanistan_news::UCZaT_X_mc0BI-djXOlfhqWQ,usr6ae0964f0d,43295,news,,UCZaT_X_mc0BI-djXOlfhqWQ,VICE News,afghanistan_news,afghanistan,news,9
afghanistan_news::UCcyq283he07B7_KUX07mmtA,usr79f5949edb,2141,news,,UCcyq283he07B7_KUX07mmtA,Business Insider,afghanistan_news,afghanistan,news,2
afghanistan_news::UCzuqE7-t13O4NIDYJfakrhw,usr937a5dde5d,3511,news,,UCzuqE7-t13O4NIDYJfakrhw,Democracy Now!,afghanistan_news,afghanistan,news,15
