user_id,token,n_posts,label_majority,targets,channel_id,channel_title,group_label,corpus,source_kind,n_videos
iran_videos_with_all_comments_sample100::UC-3jIAlnQmbbVMV6gR7K8aQ,usr163af53f82,5638,influencer,,UC-3jIAlnQmbbVMV6gR7K8aQ,The Majority Report w/ Sam Seder,iran_videos_with_all_comments_sample100,iran,influencer,13
iran_videos_with_all_comments_sample100::UC1yBKRuGpC1tSM73A0ZjYjQ,usr4bc6ea6ae7,21922,influencer,,UC1yBKRuGpC1tSM73A0ZjYjQ,The Young Turks,iran_videos_with_all_comments_sample100,iran,influencer,18
iran_videos_with_all_comments_sample100::UCCRNUa9EwvRXMYwUmDi3JtA,usr86d145a3fe,100,influencer,,UCCRNUa9EwvRXMYwUmDi3JtA,Chad Prather,iran_videos_with_all_comments_sample100,iran,influencer,1
iran_videos_with_all_comments_sample100::UCD8YGIxFCnVqv-ZGqgtVWAg,usra5acb9fbc5,7609,influencer,,UCD8YGIxFCnVqv-ZGqgtVWAg,Erick Stakelbeck on TBN,iran_videos_with_all_comments_sample100,iran,influencer,8
iran_videos_with_all_comments_sample100::UCG749Dj4V2fKa143f8sE60Q,usr9a5f6ecb6c,1807,influencer,,UCG749Dj4V2fKa143f8sE60Q,Tim Pool,iran_videos_with_all_comments_sample100,iran,influencer,1
iran_videos_with_all_comments_sample100::UCJdKr0Bgd_5saZYqLCa9mng,usr87835ff178,13385,influencer,,UCJdKr0Bgd_5saZYqLCa9mng,The Rubin Report,iran_videos_with_all_comments_sample100,iran,influencer,7
iran_videos_with_all_comments_sample100::UCLdP3jmBYe9lAZQbY6OSYjw,usr535178493c,15392,influencer,,UCLdP3jmBYe9lAZQbY6OSYjw,Benny Johnson,iran_videos_with_all_comments_sample100,iran,influencer,7
iran_videos_with_all_comments_sample100::UCNNTZgxNQuBrhbO0VrG8woA,usr800745ef30,409,influencer,,UCNNTZgxNQuBrhbO0VrG8woA,No Jumper,iran_videos_with_all_comments_sample100,iran,influencer,1
iran_videos_with_all_comments_sample100::UCQANb2YPwAtK-IQJrLaaUFw,usrb73c023778,2747,influencer,,UCQANb2YPwAtK-IQJrLaaUFw,Brian Tyler Cohen,iran_videos_with_all_comments_sample100,iran,influencer,3
iran_videos_with_all_comments_sample100::UCaYw_yJ_YLPEv6zR2c7hgHA,usrebfb76065f,1507,influencer,,UCaYw_yJ_YLPEv6zR2c7hgHA,The Officer Tatum,iran_videos_with_all_comments_sample100,iran,influencer,3
iran_videos_with_all_comments_sample100::UCeAACGXB76rAOON6aaY72-Q,usr1b4a4e67c3,91,influencer,,UCeAACGXB76rAOON6aaY72-Q,Keith Olbermann,iran_videos_with_all_comments_sample100,iran,influencer,1
iran_videos_with_all_comments_sample100::UCfaIu2jO-fppCQV_lchCRIQ,usrbc44b2270f,737,influencer,,UCfaIu2jO-fppCQV_lchCRIQ,Charlie Kirk,iran_videos_with_all_comments_sample100,iran,influencer,1
iran_videos_with_all_comments_sample100::UClFSU9_bUb4Rc6OYfTt5SPw,usrcd56ea7ee2,8049,influencer,,UClFSU9_bUb4Rc6OYfTt5SPw,Philip DeFranco,iran_videos_with_all_comments_sample100,iran,influencer,3
iran_videos_with_all_comments_sample100::UCnQC_G5Xsjhp9fEJKuIcrSw,usrf7b3ac1163,1620,influencer,,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,iran_videos_with_all_comments_sample100,iran,influencer,3
iran_videos_with_all_comments_sample100::UCt6J-LE3g25VPn530Td8Ttw,usr0aaec75f8f,62,influencer,,UCt6J-LE3g25VPn530Td8Ttw,The Clay Travis & Buck Sexton Show,iran_videos_with_all_comments_sample100,iran,influencer,16
iran_videos_with_all_comments_sample100::UCtoaZpBnrd0lhycxYJ4MNOQ,usr7480ce04db,3625,influencer,,UCtoaZpBnrd0lhycxYJ4MNOQ,HasanAbi,iran_videos_with_all_comments_sample100,iran,influencer,4
iran_videos_with_all_comments_sample100::UCvixJtaXuNdMPUGdOPcY8Ag,usra29e76ccda,2318,influencer,,UCvixJtaXuNdMPUGdOPcY8Ag,David Pakman Show,iran_videos_with_all_comments_sample100,iran,influencer,5
iran_videos_with_all_comments_sample100::UCx_2Vso6Qz76n-w5KV8DZcA,usr94d72791ce,488,influencer,,UCx_2Vso6Qz76n-w5KV8DZcA,Allie Beth Stuckey,iran_videos_with_all_comments_sample100,iran,influencer,1
